day_reported	model_fit	model_fit_low	model_fit_high	data_value	smoothed_value	variable	data_source	model_type
2020-03-11	42.2247316430194	40.1026330092227	44.4591247142044	46	42.7142857142857	hospitalizations	FOPH_online	current
2020-03-12	52.034363343429	49.4192596573923	54.7878496627981	52	48	hospitalizations	FOPH_online	current
2020-03-13	57.8229809997529	54.9169573447295	60.8827818101736	52	60.1428571428571	hospitalizations	FOPH_online	current
2020-03-14	72.8443652132949	69.1834081892027	76.6990479684987	63	68.1428571428572	hospitalizations	FOPH_online	current
2020-03-15	81.7722289490123	77.6625821002822	86.0993447095984	54	77.2857142857143	hospitalizations	FOPH_online	current
2020-03-16	92.0193600730056	87.3947206568294	96.8887201035268	114	84.2857142857143	hospitalizations	FOPH_online	current
2020-03-17	99.1414037733383	94.1588300703538	104.387638788673	96	94.8571428571428	hospitalizations	FOPH_online	current
2020-03-18	110.894790312114	105.321523796034	116.76297564953	110	101.142857142857	hospitalizations	FOPH_online	current
2020-03-19	116.747828458567	110.880404377221	122.925737206197	101	111.714285714286	hospitalizations	FOPH_online	current
2020-03-20	128.166229767141	121.724948307092	134.948362526982	126	116.571428571429	hospitalizations	FOPH_online	current
2020-03-21	131.997996762967	125.364141254713	138.98289395239	107	127.428571428571	hospitalizations	FOPH_online	current
2020-03-22	143.591259997649	136.374759032236	151.189634313771	128	138.571428571429	hospitalizations	FOPH_online	current
2020-03-23	155.38164153743	147.572588492135	163.603923828665	148	146.714285714286	hospitalizations	FOPH_online	current
2020-03-24	163.213454246428	155.010795880194	171.850170149694	172	157.428571428571	hospitalizations	FOPH_online	current
2020-03-25	174.261829459698	165.503910206457	183.483188818678	188	158.857142857143	hospitalizations	FOPH_online	current
2020-03-26	173.610183474682	164.8850141526	182.79705988452	158	157.857142857143	hospitalizations	FOPH_online	current
2020-03-27	170.266394716837	161.709275001671	179.276328890661	201	158.285714285714	hospitalizations	FOPH_online	current
2020-03-28	169.01737903986	160.523031410118	177.96121943722	117	150.428571428571	hospitalizations	FOPH_online	current
2020-03-29	158.064352421602	150.120473721279	166.428594895374	121	136.142857142857	hospitalizations	FOPH_online	current
2020-03-30	140.135188295546	133.092379968356	147.550678733803	151	126.571428571429	hospitalizations	FOPH_online	current
2020-03-31	128.464875043799	122.008584495263	135.262811123423	117	108	hospitalizations	FOPH_online	current
2020-04-01	107.021007763803	101.642426881794	112.684205347635	88	98.1428571428571	hospitalizations	FOPH_online	current
2020-04-02	96.0974599018197	91.2678664281879	101.182619480296	91	86.4285714285714	hospitalizations	FOPH_online	current
2020-04-03	83.3974603001143	79.2061338030934	87.8105779256898	71	73.8571428571428	hospitalizations	FOPH_online	current
2020-04-04	70.081702062284	66.5595888737896	73.7901938255634	48	64.5714285714286	hospitalizations	FOPH_online	current
2020-04-05	60.5819247714388	57.5372442065713	63.787719756538	39	60	hospitalizations	FOPH_online	current
2020-04-06	56.2179824997272	53.3926216456648	59.1928521006844	63	54.4285714285714	hospitalizations	FOPH_online	current
2020-04-07	50.7705234529321	48.2189368764329	53.4571315475136	52	48.8571428571429	hospitalizations	FOPH_online	current
2020-04-08	45.3325037236524	43.0542170306344	47.7313498093052	56	47.1428571428571	hospitalizations	FOPH_online	current
2020-04-09	43.9789797225082	41.7687174152441	46.3062017970149	52	45.7142857142857	hospitalizations	FOPH_online	current
2020-04-10	42.8747164583409	40.7199513791954	45.1435045750648	32	40.5714285714286	hospitalizations	FOPH_online	current
